# gep_len: 5
# 表示多关键词规则中关键词生效的最大间隔
#
# rule_score: 0.3
# 表示规则命中后的加分
#
# 支持正则，注意字符转义。example：
# word1 word2	label1 label2
风水	文化生活
风水	文化生活 房产家居
书画	文化生活
收藏	文化生活
儒学	文化生活
佛学	文化生活
道学	文化生活
月关	文化生活
辰东	文化生活
宠物	文化生活
狗狗	文化生活
猫咪	文化生活
生活 技巧	文化生活
养猫	文化生活
养狗	文化生活
哈士奇	文化生活
二哈	文化生活
睿士	时尚
高跟鞋	时尚
yeezy	时尚
adidas	时尚
nike	时尚
air jordan	时尚
男鞋	时尚
休闲鞋	时尚
burberry	时尚
巴宝莉	时尚
阿玛尼	时尚
ysl	时尚
爱马仕	时尚
宝宝	时尚
搭配 时尚	时尚
男装	时尚
机械表	时尚
机械 手表	时尚
机械 机芯	时尚
光动能	时尚
饰品	时尚
护肤	时尚 健康
发型	时尚
美妆	时尚
彩妆	时尚
化妆	时尚
底妆	时尚
形象设计	时尚
穴位	健康
丰胸	健康
祛痘	健康
治疗	健康
中医	健康
医学	健康
两性	健康 情感 搞笑
糗事	搞笑
全场 笑	搞笑
小品	搞笑
相声	搞笑
笑多了	搞笑
笑 胃疼	搞笑
笑 疯	搞笑
笑 抽筋	搞笑
笑 翻天	搞笑
笑 神经	搞笑
女神经	搞笑
整蛊	搞笑
环道接力赛 老司机	搞笑
笑料百出	搞笑
男女 交往	情感
心理学	情感
星座	情感
恋爱	情感
婚姻 情感	情感
学做 女人	情感
涂磊	情感
大排档	美食
烘焙	美食
大胃王	美食
直播 吃饭	美食
直播 吃	美食
吃播	美食
吃秀	美食
吃法	美食
木下	美食
下饭	美食
美味	美食
蛋糕	美食
红酒	美食
吃货	美食
好吃	美食
做法 大全	美食
菜谱	美食
家常菜	美食
快餐	美食
火锅	美食
必胜客	美食
麦当劳	美食
星巴克	美食
dlc	游戏
主机版	游戏
sd 高达	游戏
机动 高达	游戏
音游	游戏
手游	游戏
手机游戏	游戏
qq飞车	游戏
守望先锋	游戏
全场最佳	游戏
休闲 游戏	游戏
我的世界	游戏
战舰世界	游戏
方舟 起源	游戏
英雄联盟	游戏
魔兽争霸	游戏
穿越火线	游戏
解说 期	游戏
解说 实况	游戏
解说 轮	游戏
lol	游戏
pdd	游戏
阿怡	游戏
小漠	游戏
小智	游戏
直播 草莓	游戏
直播 笑笑	游戏
edg	游戏
csgo	游戏
中单	游戏
上单	游戏
打野	游戏
五五开	游戏
文森特	游戏
德云色	游戏
网咖	游戏
电竞	游戏
电子竞技	游戏
刀塔传奇	游戏
王者荣耀	游戏
荣耀日常录	游戏
uzi	游戏
faker	游戏
skt	游戏
跑跑卡丁车	游戏
皮城	游戏
作战	游戏
诛仙	游戏
carry	游戏
gank	游戏
越塔	游戏
发姐	游戏
陈一发	游戏
h1z1	数码
gtr	汽车
东风	汽车
宝骏	汽车
观致	汽车
奇瑞	汽车
比亚迪	汽车
byd	汽车
江淮	汽车
别克	汽车
4s店	汽车
奔驰	汽车
福特	汽车
奥迪	汽车
法拉利	汽车
超跑	汽车
广汽	汽车
车险	汽车
汽车用品	汽车
特斯拉	汽车 科技
无人机	科技
发明	科技
黑客	科技
机器人	科技
小米	数码 科技
索尼	数码
主板	数码
拆机	数码
拆解	数码
新机	数码
魅族	数码
一加	数码
红米	数码
oppo	数码
vivo	数码
努比亚	数码
奇酷	数码
音响	数码
锤子 罗永浩	数码
锤子 老罗	数码
锤子 发布会	数码
锤子 体验	数码
锤子 系统	数码
锤子 工匠	数码
骁龙	数码
moto	数码
macbook	数码
surface	数码
airpods	数码
官换机	数码
gopro	数码
apple watch	数码
智能 手表	数码
移动电源	数码
充电宝	数码
kindle	数码
台式机	数码
魅蓝	数码
极路由	数码
路由器	数码
PS4	数码
windows	数码
技嘉	数码
华硕	数码
微星	数码
显卡	数码
电脑主机	数码
电脑 主机	数码
游戏 主机	数码
水冷	数码
油冷	数码
显示器	数码
安卓	数码
序列号 查询	数码
交警	社会资讯
冷 降温	社会资讯
降雪	社会资讯
便民服务	社会资讯
法律 知识	社会资讯
交通事故	社会资讯
特朗普	社会资讯
动漫	娱乐
新番	娱乐
后援会	娱乐
吴昕	娱乐
大鹏	娱乐
言承旭	娱乐
exo	娱乐
bigbang	娱乐
snh48	娱乐
华晨宇	娱乐
李荣浩	娱乐
侧田	娱乐
二次元	娱乐
岳云鹏	娱乐
王自健	娱乐
王子文	娱乐
孔侑	娱乐
琅琊榜	娱乐
芈月	娱乐
神曲	娱乐
童星	娱乐
林妙可	娱乐
杨幂	娱乐
郑爽	娱乐
蒋欣	娱乐
刘诗诗	娱乐
赵丽颖	娱乐
刘涛	娱乐
宋佳	娱乐
吴京	娱乐
卷福	娱乐
杨澜	娱乐
朱丹	娱乐
胡歌	娱乐
金莎	娱乐
朱之文	娱乐
陈伟霆	娱乐
胡歌	娱乐
李小璐	娱乐
angelababy	娱乐
薛之谦	娱乐
李晨	娱乐
范冰冰	娱乐
陈赫	娱乐
邓超	娱乐
孙俪	娱乐
何洁	娱乐
刘德华	娱乐
陈奕迅	娱乐
杨洋	娱乐
李易峰	娱乐
王俊凯	娱乐
马伊琍	娱乐
大张伟	娱乐
贾乃亮	娱乐
谢霆锋	娱乐
张柏芝	娱乐
娜美	娱乐
小李子	娱乐
权志龙	娱乐
鹿晗	娱乐
张艺兴	娱乐
黄子韬	娱乐
宅舞	娱乐
强迫症	娱乐
张无忌	娱乐
步惊云	娱乐
聂风	娱乐
华妃	娱乐
网红	娱乐
拍戏	娱乐
吻戏	娱乐
yy 直播	娱乐
直播 跳舞	娱乐
老歌	娱乐
冲关	娱乐
阿宝 义演	娱乐
cosplay	娱乐
cos	娱乐
tvb	娱乐
广场舞	娱乐
九阳神功	娱乐
黑客帝国	娱乐
凤凰传奇	娱乐
片尾曲	娱乐
感动 全场	娱乐
震撼 全场	娱乐
嗨翻 全场	娱乐
耳朵 怀孕	娱乐
mba	教育
家庭教育	教育
培训 招生	教育
高考	教育
公务员 考试	教育
公务员 面试	教育
公考	教育
儿童 心理学	育儿
母婴	育儿
亲子	育儿
辣妈	育儿
小宝宝	育儿
妈妈 宝宝	育儿
小猪佩琪	育儿
高考 培训	教育
四六级	教育
球员	体育运动
球星	体育运动
科比	体育运动
宁泽涛	体育运动
nba 体育运动
cba 体育运动
中超	体育运动
西甲	体育运动
英超	体育运动
德甲	体育运动
亚冠	体育运动
意甲	体育运动
法甲	体育运动
国安	体育运动
田亮	体育运动
王楠	体育运动
林丹	体育运动
申花	体育运动
曼联	体育运动
体彩	体育运动
大奖赛	体育运动
武术	体育运动
运动员	体育运动
格斗	体育运动
信托	财经
私募	财经
期货	财经
妖股	财经
牛股	财经
涨停	财经
散户	财经
股民	财经
货币	财经
华尔街	财经
致富	财经
物业	房产家居
楼市	房产家居
房地产	房产家居
装饰	房产家居
装修 设计 房产家居
家居 设计	房产家居
家具	房产家居
风景区	旅游摄影
儿童摄影	旅游摄影
一日游	旅游摄影
云计算	互联网
虎嗅	互联网
互联网 信贷	互联网
董明珠	互联网
格力	互联网
刘强东	互联网
李彦宏	互联网
马化腾	互联网
python	互联网
c\+\+	互联网
c语言	互联网
html5	互联网
大 数据	互联网
数据库	互联网
excel	互联网
javascript	互联网
cad	互联网
java	互联网
运维	互联网
机器学习	互联网
深度学习	互联网
罗永浩	互联网
运势	情感
星座	情感
白羊座	情感
金牛座	情感
双子座	情感
巨蟹座	情感
巨蟹	情感
狮子座	情感
天平座	情感
天秤座	情感
天秤	情感
天蝎座	情感
天蝎	情感
射手座	情感
摩羯座	情感
摩羯	情感
水瓶座	情感
双鱼座	情感
双鱼	情感
互联网金融	财经
电子商务	互联网
O2O	互联网
搜索引擎	互联网
社交网络	互联网
Facebook	互联网
物联网	互联网
皮肤病	健康
传染病	健康
妇科	健康
癌症	健康
口腔护理	健康
养肾	健康
保健品	健康
亲子成长	育儿
孕产	育儿
健康护理	育儿
儿童教育	育儿
花絮	娱乐
c罗	体育运动
伊布	体育运动
刘翔	体育运动
卡卡	体育运动
古力	体育运动
姚明	体育运动
张帅	体育运动
李娜	体育运动
林丹	体育运动
梅西	体育运动
欧文	体育运动
科比	体育运动
郭跃	体育运动
